iter	Passed	Remaining
517	66842	1223552
518	66980	1223588
519	67103	1223356
520	67205	1222731
521	67329	1222515
522	67436	1221978
523	67569	1221922
524	67693	1221710
525	67825	1221638
526	67961	1221639
527	68088	1221468
528	68224	1221462
529	68325	1220826
530	68434	1220348
531	68535	1219721
532	68674	1219779
533	68781	1219269
534	68888	1218740
535	69014	1218571
536	69146	1218500
537	69267	1218240
538	69407	1218302
539	69530	1218078
540	69643	1217666
541	69769	1217488
542	69908	1217548
543	70031	1217316
544	70156	1217116
545	70290	1217073
546	70401	1216640
547	70537	1216635
548	70676	1216683
549	70800	1216479
550	70928	1216331
551	71058	1216234
552	71185	1216066
553	71285	1215462
554	71426	1215543
555	71538	1215117
556	71691	1215404
557	71796	1214875
558	71921	1214688
559	72036	1214326
560	72175	1214370
561	72315	1214444
562	72418	1213886
563	72561	1213987
564	72690	1213871
565	72813	1213644
566	72922	1213193
567	73052	1213079
568	73165	1212693
569	73281	1212364
570	73409	1212221
571	73534	1212032
572	73636	1211469
573	73768	1211402
574	73876	1210930
575	73992	1210606
576	74116	1210391
577	74236	1210139
578	74340	1209613
579	74460	1209344
580	74569	1208901
581	74671	1208350
582	74800	1208229
583	74904	1207707
584	75014	1207277
585	75137	1207076
586	75243	1206593
587	75376	1206536
588	75482	1206046
589	75607	1205880
590	75747	1205943
591	75850	1205414
592	75954	1204893
593	76063	1204462
594	76189	1204305
595	76295	1203830
596	76402	1203365
597	76527	1203194
598	76632	1202708
599	76743	1202318
600	76867	1202125
601	76969	1201591
602	77075	1201125
603	77198	1200926
604	77326	1200793
605	77451	1200633
606	77583	1200559
607	77719	1200562
608	77853	1200521
609	77976	1200319
610	78098	1200109
611	78212	1199763
612	78337	1199596
613	78465	1199479
614	78599	1199445
615	78710	1199053
616	78842	1198989
617	78950	1198569
618	79079	1198462
619	79204	1198294
620	79315	1197905
621	79443	1197786
622	79547	1197305
623	79690	1197395
624	79813	1197208
625	79916	1196704
626	80054	1196729
627	80183	1196617
628	80282	1196071
629	80410	1195944
630	80541	1195875
631	80676	1195856
632	80808	1195790
633	80934	1195639
634	81062	1195515
635	81165	1195025
636	81271	1194582
637	81401	1194480
638	81525	1194301
639	81629	1193828
640	81766	1193842
641	81870	1193376
642	81997	1193232
643	82119	1193035
644	82244	1192868
645	82374	1192772
646	82477	1192287
647	82588	1191928
648	82689	1191412
649	82801	1191064
650	82902	1190562
651	83026	1190387
652	83136	1190016
653	83261	1189851
654	83383	1189651
655	83519	1189645
656	83632	1189314
657	83767	1189297
658	83874	1188886
659	83996	1188677
660	84128	1188613
661	84252	1188445
662	84380	1188332
663	84509	1188224
664	84617	1187824
665	84752	1187801
666	84881	1187700
667	85008	1187569
668	85119	1187219
669	85225	1186801
670	85354	1186698
671	85483	1186589
672	85592	1186215
673	85727	1186197
674	85853	1186054
675	85955	1185581
676	86063	1185182
677	86171	1184798
678	86293	1184591
679	86401	1184202
680	86540	1184246
681	86642	1183773
682	86764	1183584
683	86893	1183483
684	87017	1183311
685	87143	1183166
686	87268	1183016
687	87393	1182864
688	87500	1182456
689	87630	1182376
690	87758	1182261
691	87885	1182130
692	88019	1182101
693	88141	1181909
694	88270	1181806
695	88376	1181404
696	88500	1181229
697	88607	1180837
698	88730	1180656
699	88831	1180186
700	88953	1180002
701	89054	1179525
702	89191	1179537
703	89318	1179406
704	89430	1179088
705	89545	1178808
706	89658	1178492
707	89776	1178253
708	89878	1177799
709	90010	1177742
710	90119	1177380
711	90220	1176923
712	90323	1176488
713	90447	1176327
714	90561	1176033
715	90695	1176007
716	90824	1175902
717	90964	1175948
718	91067	1175522
719	91195	1175414
720	91320	1175265
721	91428	1174892
722	91563	1174872
723	91696	1174823
724	91823	1174707
725	91957	1174676
726	92067	1174337
727	92177	1174002
728	92286	1173650
729	92421	1173622
730	92544	1173459
731	92670	1173314
732	92799	1173223
733	92925	1173088
734	93040	1172810
735	93173	1172765
736	93296	1172594
737	93424	1172492
738	93532	1172128
739	93659	1172007
740	93788	1171910
741	93910	1171728
742	94038	1171626
743	94161	1171456
744	94289	1171341
745	94422	1171295
746	94523	1170855
747	94646	1170678
748	94747	1170237
749	94878	1170172
750	95003	1170021
751	95104	1169580
752	95231	1169458
753	95340	1169117
754	95472	1169064
755	95603	1168993
756	95706	1168574
757	95843	1168581
758	95972	1168487
759	96099	1168363
760	96222	1168196
761	96350	1168093
762	96476	1167956
763	96607	1167891
764	96711	1167487
765	96818	1167124
766	96926	1166783
767	97051	1166642
768	97160	1166299
769	97295	1166277
770	97417	1166102
771	97539	1165929
772	97644	1165543
773	97769	1165396
774	97910	1165446
775	98035	1165304
776	98161	1165176
777	98289	1165074
778	98399	1164748
779	98524	1164610
780	98660	1164601
781	98783	1164438
782	98911	1164323
783	99016	1163951
784	99162	1164055
785	99269	1163705
786	99396	1163579
787	99522	1163457
788	99629	1163100
789	99758	1163010
790	99894	1162992
791	99995	1162578
792	100123	1162469
793	100259	1162452
794	100387	1162352
795	100511	1162193
796	100641	1162113
797	100776	1162081
798	100900	1161935
799	101029	1161842
800	101135	1161478
801	101256	1161292
802	101381	1161154
803	101505	1160996
804	101636	1160928
805	101778	1160986
806	101902	1160834
807	102035	1160777
808	102164	1160680
809	102264	1160258
810	102392	1160150
811	102516	1160003
812	102644	1159896
813	102745	1159478
814	102868	1159323
815	102991	1159162
816	103122	1159089
817	103233	1158794
818	103356	1158627
819	103486	1158544
820	103618	1158481
821	103720	1158083
822	103846	1157962
823	103954	1157626
824	104078	1157483
825	104207	1157387
826	104339	1157321
827	104466	1157209
828	104590	1157061
829	104712	1156886
830	104840	1156777
831	104968	1156673
832	105075	1156337
833	105185	1156033
834	105286	1155628
835	105413	1155515
836	105540	1155396
837	105646	1155053
838	105748	1154666
839	105871	1154508
840	105993	1154331
841	106115	1154161
842	106247	1154098
843	106380	1154051
844	106507	1153931
845	106627	1153748
846	106729	1153356
847	106834	1153010
848	106965	1152934
849	107082	1152710
850	107192	1152413
851	107322	1152327
852	107432	1152038
853	107570	1152039
854	107701	1151970
855	107826	1151823
856	107932	1151493
857	108054	1151323
858	108161	1150992
859	108292	1150917
860	108411	1150722
861	108543	1150658
862	108668	1150522
863	108773	1150175
864	108896	1150024
865	109001	1149673
866	109130	1149580
867	109258	1149484
868	109396	1149476
869	109526	1149401
870	109659	1149348
871	109792	1149300
872	109918	1149175
873	110041	1149009
874	110166	1148876
875	110297	1148801
876	110419	1148634
877	110521	1148270
878	110658	1148250
879	110758	1147858
880	110894	1147839
881	111023	1147743
882	111154	1147669
883	111261	1147348
884	111371	1147066
885	111500	1146965
886	111631	1146899
887	111732	1146520
888	111865	1146460
889	111991	1146343
890	112096	1145999
